[02:05:09 | 13-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x1c2c49ae998396441501f8f30dc0126a153ab6fb0e0c9b30ae6b03ba3fe7cd81
[02:05:28 | 13-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x7773458140d42e9e1a857db404583ba30857dedb0fdbadb5b9811eb1ee66566e
[02:08:31 | 13-02-2025] Transfer Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[02:08:34 | 13-02-2025] Bridge Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:15:17 | 13-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x7b4f5efa5aa0ca143b1c7d5414ca3f696c26db40675c21e2fcd7d7598de2d891
[09:15:29 | 13-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x50cb82caf4b38c17f749b11776be06fb205bf9dbaa61acd3cd99ae8eb724decf
[09:18:36 | 13-02-2025] Transfer Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:18:44 | 13-02-2025] Bridge Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:15:01 | 14-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x38a898d9736d5ba99f6fc98bd57789c41080116792ec6d691f442cc2e70b4b0c
[09:15:13 | 14-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x6de88d4f0f70462151b8a22b7b19e34fbd733974225b4d85cd5adfd2ffcac849
[09:18:16 | 14-02-2025] Transfer Task successful for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66
[09:18:19 | 14-02-2025] Bridge Task successful for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66
[09:01:38 | 15-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0xf1265290880c8863b69dc4f6c344fbf30ef3aff0862a40213cbcedbe2a9639d6
[09:02:14 | 15-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x30b26d02677d2ba27a16fafe9dcad1966b289c60fe6909f19b8cb10c11117dd3
[09:05:17 | 15-02-2025] Transfer Task successful for 0xdBd56e0daB296e327AeC1F417dEAE1f9e2dD1cb4
[09:05:20 | 15-02-2025] Bridge Task successful for 0xdBd56e0daB296e327AeC1F417dEAE1f9e2dD1cb4
[09:16:23 | 16-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0xfaef1e6e650f288db3c3fb1eb2ad6b086e9f48f7ad696df33232f4b0b62c978d
[09:16:38 | 16-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x0c594d4571e9c8e42ba1a16ae9bccf66c62bf32eee62f23225a8103c8db51840
[09:19:41 | 16-02-2025] Transfer Task successful for 0xdBd56e0daB296e327AeC1F417dEAE1f9e2dD1cb4
[09:19:44 | 16-02-2025] Bridge Task successful for 0xdBd56e0daB296e327AeC1F417dEAE1f9e2dD1cb4
[09:14:10 | 17-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x0113995667f2757ce4fde415d82c577e3317e86cd565a989f265b04db224adce
[09:14:25 | 17-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x745b2a527d6f45f4d204b2444b5601c4f3db99ff232afa1ac71139af9d68ba30
